make,model,variant,yearFrom,yearTo,bodyType,doors,seats,engineCode,engineDisplacement,engineCylinders,engineValves,engineFuelType,enginePowerBhp,enginePowerKw,engineTorqueNm,engineAspiration,enginePosition,gearboxType,gears,drivetrain,acceleration0100,topSpeedKph,topSpeedMph,fuelEconomyCombinedMpg,fuelEconomyCombinedL100,fuelEconomyUrbanL100,fuelEconomyExtraUrbanL100,fuelTankLitres,co2Gkm,emissionsStandard,noxMgkm,lengthMm,widthMm,heightMm,wheelbaseMm,weightKg,grossWeightKg,bootLitres,bootLitresMax,tyreFront,tyreRear,brakeFront,brakeRear,batteryKwh,electricRangeKm,chargingKw
FORD,Ford Kuga,2.5L Turbo 6MT (200 HP),2008,,,,,,2521,4,,PETROL,197,147,320,,,MANUAL,6,,7.9,209,130,22.8,10.3,14.6,7.8,57,,,,4442,1842,1676,2690,1608,,360,,235/55 R17,,Ventilated Discs,Discs,,,
FORD,Ford Maverick,2.0L EcoBoost 8AT (250 HP),2022,,,,,,1999,4,,PETROL,247,183.9,376,,,AUTOMATIC,8,,,,,,,,,62,,,,5072,1979,1745,3076,1692,,,,235/65/R17,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Maverick,2.5L FHEV 8AT (191 HP),2022,,,,,,2490,4,,PETROL,160,119.2,210,,,AUTOMATIC,8,FWD,,,,,,,,52,,,,5072,1979,1745,3076,1666,,,,225/65R17 A/S,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Maverick 3 Doors,2.4i 5MT (124 HP),1993,,,,,,2389,4,,PETROL,122,91,197,,,MANUAL,5,,13.2,160,,21.2,11.1,,,71,,,,4100,1740,1796,2451,1590,,113,,215/80/R15,,Discs,Drums,,,
FORD,Ford Maverick 3 Doors,2.4i 5MT AWD (116 HP),1996,,,,,,2389,4,,PETROL,114,85,191,,,MANUAL,5,,13.7,160,,19.8,11.9,15.2,10.1,79,,,,4181,1760,1829,2451,1605,,334,,235/75/R15,,Ventilated Discs,Drums,,,
FORD,Ford Maverick 3 Doors,2.7L TD 5MT (101 HP),1993,,,,,,2663,4,,DIESEL,99,74,221,,,MANUAL,5,,19,145,,23.8,9.9,,,71,,,,4100,1740,1796,2451,1690,,113,,215/80/R15,,Discs,Drums,,,
FORD,Ford Maverick 3 Doors,2.7L TD 5MT AWD (125 HP),1996,,,,,,2664,4,,DIESEL,123,92,278,,,MANUAL,5,,15.7,155,,23.3,10.1,12.4,8.8,79,,,,4181,1760,1829,2451,1720,,334,,235/75/R15,,Ventilated Discs,Drums,,,
FORD,Ford Maverick 5 Doors,2.4i 5MT AWD (118 HP),1996,,,,,,2389,4,,PETROL,117,87,191,,,MANUAL,5,,14.3,160,,19.1,12.3,15.8,10.3,79,,,,4661,1760,1849,2649,1735,,113,,235/75/R15,,Ventilated Discs,Drums,,,
FORD,Ford Maverick 5 Doors,2.4i 5MT AWD (124 HP),1993,,,,,,2389,4,,PETROL,122,91,197,,,MANUAL,5,,14,160,,20.6,11.4,13,9,71,,,,4580,1740,1811,2649,1720,,113,,215/80/R15,,Discs,Drums,,,
FORD,Ford Maverick 5 Doors,2.7L TD 5MT AWD (101 HP),1993,,,,,,2663,4,,DIESEL,99,74,221,,,MANUAL,5,,19.9,145,,23.3,10.1,,,71,,,,4580,1740,1811,2649,1820,,113,,215/80/R15,,Discs,Drums,,,
FORD,Ford Maverick 5 Doors,2.7L TD 5MT AWD (101 HP)25,1996,,,,,,2664,4,,DIESEL,123,92,278,,,MANUAL,5,,16.7,155,,22.4,10.5,12.5,9.3,79,,,,4661,1760,1849,2649,1850,,113,,235/75/R15,,Ventilated Discs,Drums,,,
FORD,Ford Mustang Convertible,2.3L GTDi EcoBoost 10AT RWD (310 HP),2018,,,,,,2253,4,,PETROL,310,231.2,475,,,AUTOMATIC,10,RWD,,,,25,9.4,11.2,7.4,59,,,,4788,1915,1394,2720,1685,,323,,,,Ventilated Discs,Discs,,,
FORD,Ford Mustang Convertible,2.3L GTDi EcoBoost 6MT RWD (310 HP),2018,,,,,,2253,4,,PETROL,310,231.2,475,,,MANUAL,6,RWD,,,,25,9.4,11.2,7.6,59,,,,4788,1915,1394,2720,1681,,323,,,,Ventilated Discs,Discs,,,
FORD,Ford Mustang Convertible,GT 5.0L V8 10AT RWD (460 HP),2018,,,,,,4948,8,,PETROL,460,343,582,,,AUTOMATIC,10,RWD,,,,19,12.4,14.7,9.4,60,,,,4788,1915,1394,2720,1771,,323,,,,Ventilated Discs,Discs,,,
FORD,Ford Mustang Convertible,GT 5.0L V8 6MT RWD (460 HP),2018,,,,,,4948,8,,PETROL,460,343,582,,,MANUAL,6,RWD,,,,18,13.1,15.7,9.4,60,,,,4788,1915,1394,2720,1765,,323,,,,Ventilated Discs,Discs,,,
FORD,Ford Mustang Dark Horse,5.0L V8 10AT SelectShift RWD,2024,,,,,,5038,8,,PETROL,,,,,,AUTOMATIC,10,RWD,,,,,,,,,,,,4818,1918,1402,2718,1702,,377,,255/40 R19,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Mustang Dark Horse,5.0L V8 6MT RWD,2024,,,,,,5038,8,,PETROL,,,,,,MANUAL,6,RWD,,,,,,,,,,,,4818,1918,1402,2718,1692,,377,,255/40 R19,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Mustang GT,5.0L V8 10AT SelectShift RWD,2024,,,,,,5038,8,,PETROL,,,,,,AUTOMATIC,10,RWD,,,,,,,,,,,,4811,1915,1397,2718,,,377,,255/45 R18,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Mustang GT,5.0L V8 6MT RWD,2024,,,,,,5038,8,,PETROL,,,,,,MANUAL,6,RWD,,,,,,,,,,,,4811,1915,1397,2718,,,377,,255/45 R18,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Mustang GT Convertible,5.0L V8 10AT SelectShift RWD,2024,,,,,,5038,8,,PETROL,,,,,,AUTOMATIC,10,RWD,,,,,,,,,,,,4811,1915,1392,2718,1784,,292,,255/45 R18,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Mustang GT Convertible,5.0L V8 6MT RWD,2024,,,,,,5038,8,,PETROL,,,,,,MANUAL,6,RWD,,,,,,,,,,,,4811,1915,1392,2718,1776,,292,,255/45 R18,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Mustang GTD,5.2L V8 8AT RWD (811 HP),2025,,,,,,,8,,PETROL,800,596.6,,,,DCT,8,RWD,,,,,,,,,,,,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Mustang Mach-E,98.8 Kw (337 HP),2020,,,,,,,,,ELECTRIC,332,247.9,565,,,,,,5,,,,,,,,,,,4712,1882,1598,2985,,,402,,,,Ventilated Discs,Discs,,,
FORD,Ford Mustang Mach-E,98.8 Kw (465 HP),2020,,,,,,,,,ELECTRIC,459,342,830,,,,,RWD,5,,,,,,,,,,,4712,1882,1598,2985,,,402,,,,Ventilated Discs,Discs,,,
FORD,Ford Mustang Mach-E,Extended Range 98.8 KWh AWD (351 HP),2020,,,,,,,,,ELECTRIC,,,,,,AUTOMATIC,1,,5.1,,,,,,,,,,,4712,1882,1598,2985,2182,,402,,225/55 R19,,Ventilated Discs,Discs,,,
FORD,Ford Mustang Mach1,5.0L V8 10AT (460 HP),2021,,,,,,,8,,PETROL,454,338.3,529,,,AUTOMATIC,10,RWD,,,,,,,,,,,,,,,,,,,,,,Ventilated Discs,Discs,,,
FORD,Ford Mustang Mach1,5.0L V8 6MT (460 HP),2021,,,,,,,8,,PETROL,454,338.3,529,,,MANUAL,6,RWD,4.8,430,267,,,,,,,,,4798,1915,1382,2720,1839,,408,,225/40 R 19,,Ventilated Discs,Ventilated Discs,,,
FORD,Ford Pinto,1.6L 4MT RWD (76 HP),1971,,,,,,1602,4,,PETROL,75,56,130,,,MANUAL,4,RWD,,,,,,,,,,,,4140,1763,1270,2388,914,,,,6.00-13,,,,,,
FORD,Ford Pinto,2.0L 3MT RWD (97 HP),1971,,,,,,1999,4,,PETROL,95,71,163,,,MANUAL,3,RWD,,,,,,,,,,,,4140,1763,1270,2388,937,,,,6.00-13,,,,,,
